symbol,best_model,test_accuracy,model_profit,model_return_pct,num_trades,buy_strength,buy_strength_label,predicted_sell_point,predicted_sell_price,trainer
ARKO,mlp,0.5269922879177378,2496.8077474047946,249.68077474047945,116,3,Buy,2025-07-19,4.275,<models.train.ModelTrainer object at 0x131a5b620>
VUZI,lightgbm,0.5038560411311054,2365.660412841524,236.56604128415236,136,3,Buy,2025-07-19,2.5,<models.train.ModelTrainer object at 0x131a5b620>
PYPD,logistic_regression,0.6452442159383034,1609.793066293797,160.9793066293797,178,4,Decent Buy,2025-07-19,3.62,<models.train.ModelTrainer object at 0x131a5b620>
OBT,mlp,0.5295629820051414,1528.1563717676177,152.81563717676175,90,3,Buy,2025-07-18,28.58,<models.train.ModelTrainer object at 0x131a5b620>
KLAC,lightgbm,0.5681233933161953,883.4012904784245,88.34012904784244,64,3,Buy,2025-07-19,931.12,<models.train.ModelTrainer object at 0x131a5b620>
PTC,random_forest,0.5347043701799485,792.7754162745407,79.27754162745407,42,3,Buy,2025-07-19,199.61,<models.train.ModelTrainer object at 0x131a5b620>
ADAG,lightgbm,0.5912596401028277,627.165552618776,62.7165552618776,174,3,Buy,2025-07-18,1.69,<models.train.ModelTrainer object at 0x131a5b620>
RIOT,random_forest,0.5758354755784062,557.7913847709356,55.77913847709356,138,3,Buy,2025-07-19,13.86,<models.train.ModelTrainer object at 0x131a5b620>
LIQT,logistic_regression,0.5218508997429306,350.159570477829,35.0159570477829,190,3,Buy,2025-07-19,1.85,<models.train.ModelTrainer object at 0x131a5b620>
CBAN,mlp,0.5515695067264574,300.08583770302766,30.008583770302767,54,3,Buy,2024-11-16,16.98,<models.train.ModelTrainer object at 0x131a5b620>
UTHR,random_forest,0.5218508997429306,286.24796274153505,28.624796274153503,78,3,Buy,2025-07-19,292.01,<models.train.ModelTrainer object at 0x131a5b620>
HTLFP,logistic_regression,0.6263736263736264,264.7445734447874,26.47445734447874,68,4,Decent Buy,2025-02-01,25.05,<models.train.ModelTrainer object at 0x131a5b620>
MOFG,xgboost,0.5218508997429306,232.15505441507867,23.215505441507865,142,3,Buy,2025-07-19,30.14,<models.train.ModelTrainer object at 0x131a5b620>
CHSCN,xgboost,0.5424164524421594,215.47823969739784,21.547823969739785,126,3,Buy,2025-07-19,25.055,<models.train.ModelTrainer object at 0x131a5b620>
XOMAO,mlp,0.5732647814910026,166.62759620815973,16.662759620815972,114,3,Buy,2025-07-19,25.575,<models.train.ModelTrainer object at 0x131a5b620>
AMSF,xgboost,0.5115681233933161,154.474066473535,15.447406647353501,88,3,Buy,2025-07-19,45.18,<models.train.ModelTrainer object at 0x131a5b620>
BREZ,mlp,0.6116504854368932,86.00812167212416,8.600812167212416,24,3,Buy,2024-05-29,11.39,<models.train.ModelTrainer object at 0x131a5b620>
POWW,mlp,0.5347043701799485,78.03761752066907,7.803761752066906,50,3,Buy,2025-07-18,1.22,<models.train.ModelTrainer object at 0x131a5b620>
FBIZ,xgboost,0.5218508997429306,70.10422456424772,7.010422456424771,192,3,Buy,2025-07-19,53.71,<models.train.ModelTrainer object at 0x131a5b620>
EAC,random_forest,0.7608695652173914,40.540540540540405,4.05405405405404,2,3,Buy,2024-03-12,10.65,<models.train.ModelTrainer object at 0x131a5b620>
BFRG,random_forest,0.5012853470437018,-12.303388514083963,-1.2303388514083964,96,2,Weak (Short),2025-07-19,1.51,<models.train.ModelTrainer object at 0x131a5b620>
IGTA,mlp,0.6296296296296297,-61.61434850197122,-6.161434850197122,40,2,Weak (Short),2024-12-17,11.5,<models.train.ModelTrainer object at 0x131a5b620>
PCH,mlp,0.5526992287917738,-127.13010668583456,-12.713010668583454,96,2,Weak (Short),2025-07-19,40.2,<models.train.ModelTrainer object at 0x131a5b620>
GOOG,logistic_regression,0.4910025706940874,-253.67311731345046,-25.367311731345044,64,2,Weak (Short),2025-07-19,185.94,<models.train.ModelTrainer object at 0x131a5b620>
WPRT,mlp,0.5218508997429306,-255.71252460588948,-25.57125246058895,112,2,Weak (Short),2025-07-19,3.86,<models.train.ModelTrainer object at 0x131a5b620>
SEER,xgboost,0.5038560411311054,-261.84885762038755,-26.184885762038757,126,2,Weak (Short),2025-07-19,2.11,<models.train.ModelTrainer object at 0x131a5b620>
CGNT,lightgbm,0.5295629820051414,-296.69845077803643,-29.669845077803643,82,2,Weak (Short),2025-07-19,9.18,<models.train.ModelTrainer object at 0x131a5b620>
ARVN,xgboost,0.5167095115681234,-754.1925573976008,-75.41925573976009,120,2,Weak (Short),2025-07-19,7.35,<models.train.ModelTrainer object at 0x131a5b620>
ASTSW,xgboost,0.5478723404255319,-962.6522361612648,-96.26522361612648,66,2,Weak (Short),2024-09-28,13.5,<models.train.ModelTrainer object at 0x131a5b620>
JANX,voting,0.5501285347043702,-1000.0,-100.0,31,2,Weak (Short),2024-12-05,66.835,<models.train.ModelTrainer object at 0x131a5b620>
